Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C5, C6, C7, C8",0603,7,100n,
"C10, C9",0603,2,10n,
C13,CP_Elec_4x5.4,1,10u,
C2,0603,1,10u,
C3,0603,1,100n,C1525
C4,0603,1,4.7u,C1779
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,1,PWR,
J2,PinHeader_1x04_P2.54mm_Vertical,1,SWD,
J3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,RELAY,
"R1, R2, R3, R6",0603,4,1k,
"R4, R5",0603,2,10k,
R7,0603,1,51k,
SW1,SW_Kailh_Choc_V2_THT_nSilk,1,STOP+,
SW2,SW_Kailh_Choc_V2_THT_nSilk,1,STOP-,
SW3,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,EXPOSURE_TIME,
SW4,SW_Kailh_Choc_V2_THT_nSilk,1,TOGGLE,
SW5,Switch_Toggle_SPDT_SubMini,1,SW_SPDT,
U1,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
U2,LQFP-32_7x7mm_P0.8mm,1,STM32C031K6Tx,
"U3, U4, U5, U6",SC10-21SURKWA,4,SC10-21SURKWA,
U7,SOIC-24W_7.5x15.4mm_P1.27mm,1,MAX7221,
