Designator,Mid X,Mid Y,Rotation,Layer
C1,218.821,-82.042,180.0,top
C10,213.487,-74.295,270.0,top
C11,190.5,-96.266,90.0,top
C12,184.531,-62.738,180.0,top
C13,222.25,-79.248,180.0,top
C2,220.98,-88.9,270.0,top
C3,197.612,-86.868,270.0,top
C4,199.263,-86.868,270.0,top
C5,186.563,-96.266,90.0,top
C6,196.088,-96.266,90.0,top
C7,202.946,-86.868,90.0,top
C8,201.168,-80.137,180.0,top
C9,208.407,-74.295,270.0,top
J1,230.124,-77.597,270.0,bottom
J2,71.755,-88.783,180.0,top
J3,197.064,-116.061,180.0,bottom
R1,184.912,-96.266,90.0,top
R2,197.739,-96.266,90.0,top
R3,201.168,-76.962,0.0,top
R4,215.138,-74.295,270.0,top
R5,206.756,-74.295,90.0,top
R6,192.151,-96.266,90.0,top
R7,182.88,-61.214,0.0,top
SW1,167.386,-100.965,0.0,top
SW2,94.488,-100.965,0.0,top
SW3,210.947,-61.976,90.0,top
SW4,131.191,-100.965,0.0,top
SW5,210.953053,-100.332435,180.0,top
U1,214.757,-86.995,0.0,top
U2,191.135,-86.487,90.0,top
U3,94.693334,-61.8966,0.0,top
U4,118.88,-61.8966,0.0,top
U5,143.066666,-61.8966,0.0,top
U6,167.253334,-61.8966,0.0,top
U7,192.327,-62.103,90.0,top
